Income, Individual percent
0-5k, 0.4
5k-10k, 0.201
10k-15k, 0.113
15k-20k, 0.0706
20k-30k, 0.081
30k-40k, 0.055
40k-50k, 0.036
50k-75k, 0.03
75k-100k, 0.01
100k+, 0.003
